Source,Target,Weight
Сталин,тарасенко,1
Сталин,там,1
Сталин,талантливый,1
Сталин,таковой,1
Сталин,т.а,1
Сталин,сын,1
Сталин,сша,1
Сталин,счет,1
Сталин,сходило,1
Сталин,сумели,1
Сталин,стремился,1
Сталин,стрельбой,1
Сталин,стрелкового,1
Сталин,страшного,1
Сталин,страшная,1
Сталин,страну,1
Сталин,страниц,1
Сталин,стоянке,1
Сталин,стояла,1
Сталин,стою,1
Сталин,столовой,1
Сталин,стирали,1
Сталин,старший,1
Сталин,стариков,1
Сталин,стало,1
Сталин,сталинцы,1
Сталин,стали,1
Сталин,стала,1
Сталин,стал,1
Сталин,ст,1
Сталин,ссылаясь,1
Сталин,ссср,1
Сталин,сражается,1
Сталин,сравнительно,1
Сталин,спросил,1
Сталин,справили,1
Сталин,спокойную,1
Сталин,спать,1
Сталин,спасибо,1
Сталин,спасать,1
Сталин,союз,1
Сталин,составом,1
Сталин,сообщили,1
Сталин,сообщил,1
Сталин,солдату,1
Сталин,солдат,1
Сталин,создали,1
Сталин,соединении,1
Сталин,совпало,1
Сталин,совещании,1
Сталин,совету,1
Сталин,советской,1
Сталин,советских,1
Сталин,событие,1
Сталин,собрали,1
Сталин,снижает,1
Сталин,смысл,1
Сталин,смерти,1
Сталин,смену,1
Сталин,слушаем,1
Сталин,слуг,1
Сталин,словакия,1
Сталин,слева,1
Сталин,слаще,1
Сталин,слабости,1
Сталин,скончался,1
Сталин,сказано,1
Сталин,ск,1
Сталин,синюху,1
Сталин,симптоматично,1
Сталин,сильный,1
Сталин,силы,1
Сталин,сжег,1
Сталин,сестры,1
Сталин,серьезно,1
Сталин,середины,1
Сталин,сегодняшнего,1
Сталин,северную,1
Сталин,сделал,1
Сталин,священной,1
Сталин,связывается,1
Сталин,связано,1
Сталин,своим,1
Сталин,свой,1
Сталин,сверхоптимистическое,1
Сталин,сафоновым,1
Сталин,самые,1
Сталин,самолетов,1
Сталин,самолете,1
Сталин,самодеятельность,1
Сталин,сальникова,1
Сталин,русь,1
Сталин,русские,1
Сталин,руководство,1
Сталин,руках,1
Сталин,рузвельтом,1
Сталин,ротой,1
Сталин,роте,1
Сталин,рота,1
